Geneid	SRR10440857	SRR10440859	SRR10440860	SRR10440861	SRR11357867	SRR11357868	SRR11357869	SRR11357870
ENSG00000010704.20	759	357	288	651	565	632	324	452
ENSG00000010803.17	772	1163	1419	1994	1277	1465	1130	1120
ENSG00000010810.18	894	985	559	1786	2798	4031	1126	3253
ENSG00000010818.11	904	1443	912	1017	2188	1092	1324	1109
ENSG00000010932.17	504	239	91	98	123	148	63	86
ENSG00000011007.13	1239	1430	1777	2186	2137	1430	1563	1286
ENSG00000011009.12	1945	2184	2096	1869	1081	1446	891	1144
ENSG00000011021.23	1482	1218	1043	671	1265	1360	800	1292
ENSG00000011028.14	7207	6671	3133	3952	10058	5145	4632	5959
ENSG00000011052.21	16	2	17	4	3	0	0	1
ENSG00000011083.9	7	11	6	4	7	4	2	16
ENSG00000011105.14	1920	766	1691	4362	4365	6104	2283	3843
ENSG00000011114.15	895	1828	779	911	1465	1349	841	791
ENSG00000011132.12	936	869	1067	1010	525	823	405	737
ENSG00000011143.19	671	496	426	365	454	573	426	432
ENSG00000011198.10	447	787	814	776	1890	880	1667	1313
ENSG00000011201.12	174	704	1913	613	3196	4007	5345	1665
ENSG00000011243.19	3323	2271	1919	1004	1319	1697	907	1569
ENSG00000011258.16	265	1154	485	796	934	1131	629	777
ENSG00000011260.14	683	1074	1226	1318	958	1249	725	892
ENSG00000011275.19	2444	1390	2418	1703	2095	2087	1293	1562
ENSG00000011295.16	612	877	575	1056	1740	2342	971	1616
ENSG00000011304.22	9611	11867	11910	8684	8762	9025	6206	6806
ENSG00000011332.22	55	20	4	5	24	32	14	14
ENSG00000011347.10	1544	113	323	74	412	544	113	182
ENSG00000011376.12	864	515	332	484	735	645	470	398
ENSG00000011405.14	513	2532	1000	2010	4100	3585	2309	2188
ENSG00000011422.12	4173	3067	2380	2257	2804	1087	3974	3435
ENSG00000011426.11	591	1714	2120	1807	100	51	46	76
ENSG00000011451.21	2150	1809	2258	1134	2402	2133	1386	1477
ENSG00000011454.18	1857	1313	984	965	2567	2826	1947	1661
ENSG00000011465.18	22879	10326	14429	8936	80337	94894	30629	64881
ENSG00000011478.13	550	215	318	306	350	312	228	304
ENSG00000011485.15	1469	1606	1519	1172	1881	2014	1187	1389
ENSG00000011523.15	341	691	446	446	1732	1749	742	940
ENSG00000011566.15	359	1478	669	1049	1461	1639	919	1085
ENSG00000011590.14	28	59	7	34	113	39	28	49
ENSG00000011600.12	2855	3676	1732	4727	5280	7737	4540	5430
ENSG00000011638.11	392	1091	894	716	817	1079	631	732
ENSG00000011677.13	129	2	2	0	0	0	2	0
ENSG00000012048.26	363	428	531	386	156	259	190	180
ENSG00000012061.17	1170	741	1161	1167	1211	1508	971	1236
ENSG00000012124.17	69	486	109	142	305	1191	273	304
ENSG00000012171.20	554	496	1233	542	3825	5568	3587	5552
ENSG00000012174.12	423	384	472	693	732	524	418	429
ENSG00000012211.13	952	263	437	543	274	379	211	263
ENSG00000012223.13	24	6314	56	119	545	520	2025	278
ENSG00000012232.10	1163	1819	539	1580	2351	1663	1079	1122
ENSG00000012504.15	0	27	0	0	14	18	7	32
ENSG00000012660.14	2031	4353	2308	10000	4779	2767	3759	3137
ENSG00000012779.12	1630	1801	1371	3200	5629	3216	3246	3538
ENSG00000012817.16	3454	1	2	2344	2016	2	0	2697
